directorrate,castrate1,castrate2,theme1,theme2,theme3,year,month,day,boxtotal,product1,product2,product3,totalBox14,isHoliday
0,20,626256,38,40,44,2013,12,6,566,1,118,135,735,0
3490980,62,718535,38,44,45,2015,1,15,2559,2,49,0,2510,0
23000,16,148278,45,46,0,2015,11,19,35939,1,40,0,28497,0
1419045,35,640388,40,44,45,2012,12,20,88113,2,15,18,59296,1
1496675,66,704140,23,44,0,2012,12,20,7183,1,19,25,5762,1
1681601,44,529931,44,0,0,2012,12,21,14963,76,0,0,10399,1
3386,31,178321,40,42,0,2012,12,21,754,10,30,106,605,1
0,0,0,46,0,0,2012,12,23,10,0,0,0,9,1
1482,17,349755,36,39,42,2012,12,28,701,19,0,0,620,1
9052,39,233993,46,0,0,2012,12,28,544,0,0,0,531,1
941,13,174005,46,0,0,2012,12,28,63,20,0,0,52,1
7516,38,273938,45,0,0,2012,12,28,40,0,0,0,30,1
15247,13,191540,43,0,0,2012,12,28,32,1,0,0,2,0
150863,18,313470,41,0,0,2012,12,29,1097,8,12,16,972,1
4372,16,76600,43,0,0,2012,12,29,36,0,0,0,34,1
3624,9,399072,41,0,0,2012,12,30,385,0,0,0,331,1
0,18,373744,22,44,45,2012,12,31,255,1,11,0,251,1
7764,9,200691,43,46,0,2012,12,31,286,0,0,0,278,1
10550,16,238720,46,0,0,2013,1,1,1325,0,0,0,1305,1
16571,7,94247,45,46,0,2013,1,10,44,0,0,0,42,0
669365,52,324686,46,0,0,2013,1,11,703,1,33,0,657,0
1559,19,223660,38,44,0,2013,1,12,102,54,0,0,97,0
591,19,172184,45,0,0,2013,1,15,59,74,0,0,54,0
683465,65,653561,38,44,0,2013,1,15,2225,1,0,0,2150,0
1446033,1,170028,41,0,0,2013,1,19,931,18,37,0,809,0
1170256,38,1485552,40,42,44,2013,1,21,37614,1,41,0,30928,0
708724,21,435778,32,44,45,2013,1,25,150,1,5,0,132,0
68541,33,619894,39,42,0,2013,1,26,1672,59,78,94,1602,0
35990,2,11115,22,32,40,2013,1,31,5177,21,43,0,4311,1
1995205,49,663410,45,0,0,2013,2,1,5830,8,22,81,4828,1
18989,33,191227,39,42,46,2013,2,1,1192,46,0,0,1119,1
0,20,256240,41,0,0,2013,2,2,71,91,0,0,68,1
0,29,1131603,18,46,0,2013,2,28,6305,1,0,0,5178,0
15131,10,78311,45,46,0,2013,3,1,135,0,0,0,133,0
133899,68,843652,42,44,0,2013,3,1,4425,60,0,0,4204,0
56265,14,526510,37,44,0,2013,3,1,3006,32,61,118,2944,0
8,2,17091,46,0,0,2013,3,2,3,0,0,0,2,0
14304,43,112629,31,0,0,2013,3,5,45,1,20,0,7,0
16639,83,610164,42,0,0,2013,3,8,679,9,0,0,630,0
1243,2,32781,45,46,0,2013,3,8,11,1,0,0,11,0
122932,25,487433,27,29,0,2013,3,8,560,1,0,0,539,0
11028,13,215687,46,0,0,2013,3,14,536,0,0,0,514,0
33465,35,663093,44,0,0,2013,3,14,20126,4,0,0,18627,0
225354,101,667555,29,44,0,2013,3,22,1113,15,37,0,1049,0
8040,36,328792,26,34,44,2013,3,22,450,5,42,0,428,0
589,15,184956,34,0,0,2013,3,22,18,20,0,0,12,1
1366404,23,1550230,37,40,0,2013,3,25,5415,1,2,125,5051,1
18636,77,523474,39,42,0,2013,3,28,372,18,54,0,318,1
194,3,5251,46,0,0,2013,3,29,209,1,0,0,55,1
603361,7,331412,25,40,44,2013,3,29,16421,6,0,0,14319,1
286257,47,657084,37,40,42,2013,4,15,33806,1,13,0,28217,0
577498,8,143216,45,46,0,2013,4,19,167,28,58,70,164,1
1867,17,360044,39,44,0,2013,4,19,72,1,5,63,69,1
17451,14,115851,35,46,0,2013,4,19,48,0,0,0,44,1
19609,25,449204,28,44,45,2013,4,19,238,0,0,0,233,1
0,41,820171,41,0,0,2013,4,20,39472,1,65,0,18801,1
262904,40,366358,12,39,42,2013,4,27,2257,8,33,90,2161,1
5745,36,343987,39,42,0,2013,4,28,433,1,0,0,375,1
22538,50,700025,45,0,0,2013,4,28,32,0,0,0,26,1
1681601,30,439451,45,0,0,2013,4,28,222,0,0,0,186,1
349687,10,50149,2,45,46,2013,4,28,79,10,0,0,70,1
329104,9,801609,37,40,44,2013,5,1,75487,13,53,102,61936,1
2527,17,100807,39,46,0,2013,5,10,90,16,0,0,77,0
46557,51,343687,19,21,44,2013,5,10,66,1,20,46,54,0
103769,71,917984,37,40,42,2013,5,10,14850,1,3,0,12280,0
680,12,55889,34,46,0,2013,5,11,50,1,0,0,6,0
394,50,330433,45,46,0,2013,5,24,1,92,0,0,1,0
153215,21,717151,37,40,44,2013,5,28,35320,1,13,0,24116,0
0,3,66873,41,0,0,2013,5,31,4022,12,43,54,3594,1
481990,2,241578,45,0,0,2013,6,1,190,12,0,0,188,1
5450,2,671,31,32,0,2013,6,1,4,1,0,0,3,1
393287,7,356086,40,42,44,2013,6,7,5020,1,72,0,4703,1
78424,27,417633,42,45,0,2013,6,9,333,0,0,0,306,1
0,6,351416,41,0,0,2013,6,10,571,12,21,91,538,1
9634,28,492375,45,0,0,2013,6,11,352,0,0,0,341,1
2154,4,26437,14,28,46,2013,6,14,33,28,0,0,32,0
472297,26,582373,37,40,44,2013,6,20,39449,1,2,125,31557,0
110696,104,859898,39,44,45,2013,6,21,28400,9,0,0,23995,0
173,17,116365,27,31,0,2013,6,27,49,1,0,0,41,0
0,0,0,41,0,0,2013,6,29,7,0,0,0,7,0
0,2,6076,43,0,0,2013,7,5,3,1,0,0,1,0
66418,22,526228,38,44,0,2013,7,9,1280,73,110,135,1262,0
0,1,64768,41,0,0,2013,7,12,7644,9,21,127,6417,0
25739,10,64117,4,36,42,2013,7,12,801,1,92,0,760,0
0,37,541783,24,37,40,2013,7,12,21458,1,41,0,20332,0
0,32,234762,26,29,31,2013,7,16,5941,1,20,109,35,0
170,0,0,41,0,0,2013,7,19,583,43,0,0,573,0
229,6,562876,45,0,0,2013,7,19,9,0,0,0,8,0
1915087,3,268123,21,44,0,2013,7,22,17726,1,0,0,15994,0
146778,21,229394,46,0,0,2013,7,25,39,54,0,0,37,0
15081,48,514815,26,31,0,2013,7,26,178,0,0,0,162,0
598116,18,569543,38,40,44,2013,7,26,41372,1,0,0,37192,0
7066,13,635490,41,0,0,2013,8,1,7550,12,43,51,6747,0
7319,13,142179,46,0,0,2013,8,9,2,0,0,0,0,0
287596,33,423071,32,33,45,2013,8,15,105,1,0,0,96,0
0,3,308840,41,0,0,2013,8,16,118,1,0,0,112,0
0,12,106207,35,45,0,2013,8,16,33,0,0,0,32,0
0,43,641236,45,0,0,2013,8,22,51,117,0,0,49,0
25209,54,419649,46,0,0,2013,8,23,1108,1,19,0,1094,0
3502,14,211687,37,0,0,2013,8,23,21,0,0,0,20,0
0,21,578503,41,0,0,2013,8,23,20999,1,6,0,18650,0
216426,0,0,41,0,0,2013,8,27,2,0,0,0,1,0
335111,19,1063451,12,39,42,2013,8,28,175,58,59,94,170,0
427264,36,508806,45,0,0,2013,8,30,504,35,0,0,499,0
589,59,747381,46,0,0,2013,8,30,72,59,94,0,69,0
4501,30,337428,39,40,42,2013,8,30,72,0,0,0,71,0
519482,10,559947,46,0,0,2013,8,30,8506,1,0,0,6731,0
1696467,16,501766,37,42,44,2013,9,5,15976,1,14,0,13207,0
5601839,8,38863,42,0,0,2013,9,6,1063,0,0,0,868,0
200575,119,505466,30,44,46,2013,9,6,217,42,79,0,214,0
48,8,150841,45,0,0,2013,9,6,19,1,5,0,18,1
22000,33,286057,45,46,0,2013,9,10,452,0,0,0,442,1
811135,33,379786,31,0,0,2013,9,10,10,0,0,0,7,1
306799,9,98929,34,40,44,2013,9,17,9,5,54,0,7,1
1446033,0,0,41,0,0,2013,9,28,2515,21,0,0,2116,1
4757,29,455599,39,42,0,2013,9,30,256,30,106,0,245,1
1752,13,154412,39,40,45,2013,9,30,108,35,0,0,83,1
41,32,44423,29,31,0,2013,10,1,37,0,0,0,24,1
12412,93,784195,38,42,0,2013,10,3,1059,0,0,0,1042,1
1029766,23,1296368,3,40,44,2013,10,5,8145,1,0,0,7858,0
166707,31,528785,38,44,0,2013,10,18,15526,5,48,107,14310,0
21529,35,723807,34,44,0,2013,10,18,28,20,0,0,18,0
123431,22,542657,38,42,44,2013,10,24,4923,1,0,0,4882,0
3308,36,359344,35,45,46,2013,10,25,161,10,30,66,159,0
10914,40,417837,39,42,0,2013,10,31,285,10,0,0,282,0
5728,34,219621,45,46,0,2013,11,1,517,0,0,0,501,0
610336,84,674225,38,44,0,2013,11,1,491,0,0,0,488,0
230555,21,595426,41,0,0,2013,11,1,7441,1,14,0,6000,0
25875,22,98106,46,0,0,2013,11,8,412,79,0,0,402,0
4963909,19,259019,42,0,0,2013,11,8,201,58,0,0,186,0
0,51,658623,39,44,0,2013,11,8,82,0,0,0,74,0
540140,43,859024,44,0,0,2013,11,8,34239,1,53,0,30857,0
6132,8,154275,42,0,0,2013,11,11,258,72,0,0,229,0
11420,3,37595,44,0,0,2013,11,15,131,35,0,0,79,0
1623628,50,1042223,37,42,0,2013,11,19,43560,1,2,3,36371,0
699499,30,1471192,37,40,42,2013,11,21,17194,32,0,0,15594,0
2347,2,79868,28,46,0,2013,11,22,127,28,68,0,119,0
3704,0,0,41,0,0,2013,11,29,150,11,0,0,120,0
0,13,188002,28,35,46,2013,11,29,79,0,0,0,66,0
1116959,16,604090,41,0,0,2013,11,29,4996,4,0,0,3827,0
0,5,23207,16,43,0,2013,12,10,1,0,0,0,1,0
2876,31,376258,45,0,0,2013,12,13,253,28,70,0,224,0
552295,25,643281,20,46,0,2013,12,13,170,0,0,0,165,0
186979,14,238410,45,46,0,2013,12,13,57,1,128,0,55,0
120725,21,488319,46,0,0,2013,12,19,413,1,0,0,391,0
85565,76,701612,45,46,0,2013,12,27,44,136,0,0,40,1
574,59,415418,41,0,0,2013,12,28,229,0,0,0,215,1
0,9,285269,41,0,0,2013,12,28,2642,1,0,0,2558,1
3747,27,424203,40,42,44,2013,12,31,3481,0,0,0,3354,1
2125,24,520396,46,0,0,2014,1,1,54,10,23,0,47,1
18082,6,24347,45,0,0,2014,1,5,232,19,0,0,224,0
0,22,616924,37,44,0,2014,1,7,13875,1,0,0,10747,0
113,8,135464,46,0,0,2014,1,10,14,0,0,0,9,0
525,12,27239,46,0,0,2014,1,10,12,54,0,0,10,0
24796,81,906865,42,0,0,2014,1,17,933,74,0,0,841,0
1637291,103,683358,30,46,0,2014,1,17,114,0,0,0,107,0
842425,21,458198,42,44,0,2014,1,17,16064,1,13,0,15540,0
631689,10,15069,45,0,0,2014,1,21,105,0,0,0,76,1
5783,29,482607,34,0,0,2014,1,24,39,0,0,0,35,1
0,11,151236,41,0,0,2014,1,25,440,1,0,0,433,1
535665,63,577787,22,44,46,2014,1,31,104560,11,62,87,86457,1
4645,11,189843,45,0,0,2014,1,31,40,0,0,0,36,1
959976,101,676938,30,45,0,2014,2,2,2962,0,0,0,2797,1
44822,8,363949,46,0,0,2014,2,14,31,0,0,0,28,0
614051,14,215181,38,42,0,2014,2,21,538,77,0,0,501,0
2299,27,208723,28,35,43,2014,2,21,39,1,0,0,35,0
4568,11,65285,44,0,0,2014,2,28,74,70,0,0,63,0
176691,14,534117,37,44,0,2014,2,28,31487,1,0,0,28441,0
54682,17,38105,45,46,0,2014,3,7,38,0,0,0,36,0
985974,58,451807,44,45,0,2014,3,7,5646,108,0,0,5432,0
58974,25,232292,22,30,45,2014,3,14,609,12,78,0,585,0
100110,13,401082,38,44,0,2014,3,14,41168,1,65,0,31410,0
830884,8,581261,37,0,0,2014,3,17,7485,111,0,0,6567,0
144325,3,2904,45,46,0,2014,3,28,31,1,0,0,31,1
0,22,664964,46,0,0,2014,3,28,3,0,0,0,3,0
0,14,885896,41,0,0,2014,3,28,12160,1,65,0,11403,1
486989,19,561675,29,44,0,2014,3,28,4711,1,0,0,4663,1
0,39,1681126,37,40,44,2014,4,4,73388,1,14,53,54916,1
2550328,30,560399,24,33,45,2014,4,11,273,1,58,0,262,0
5527,11,183902,45,46,0,2014,4,11,76,0,0,0,73,0
19953,2,36235,45,0,0,2014,4,11,23,79,0,0,22,0
235948,8,339266,40,44,0,2014,4,11,2536,1,0,0,2497,0
777524,37,272088,39,45,0,2014,4,18,884,138,0,0,857,0
186979,40,609948,46,0,0,2014,4,18,89,79,0,0,127,1
2483718,13,1167548,37,44,0,2014,4,18,12586,1,102,0,11734,0
2074,14,209176,41,0,0,2014,5,1,2891,1,0,0,2230,1
22538,18,145862,42,0,0,2014,5,7,562,74,138,0,500,0
3232,23,187134,46,0,0,2014,5,8,92,28,0,0,88,0
622,2,4075,35,46,0,2014,5,9,19,112,0,0,16,0
161473,2,114355,38,42,44,2014,5,9,3244,1,32,0,3142,0
0,15,603055,43,0,0,2014,5,14,3,3,82,0,23,0
2113,3,23347,43,0,0,2014,5,15,2,1,0,0,2,0
171265,0,0,31,0,0,2014,5,16,1101,0,0,0,9,0
22416,22,191271,46,0,0,2014,5,16,382,0,0,0,368,0
970,28,249101,46,0,0,2014,5,16,47,109,0,0,43,0
668,9,166036,36,42,0,2014,5,23,243,74,0,0,229,1
14304,20,55801,26,34,0,2014,5,23,107,1,20,0,7,1
1366404,21,961169,37,40,44,2014,5,23,72296,1,4,53,59952,1
82854,6,70051,46,0,0,2014,5,27,5,0,0,0,4,1
0,3,66873,41,0,0,2014,5,30,2596,43,54,0,2378,1
39862,0,0,41,0,0,2014,5,30,2186,62,63,0,1921,1
1463,0,0,41,0,0,2014,5,31,4365,12,16,21,3855,1
574,0,0,41,0,0,2014,5,31,358,68,112,133,328,1
0,22,254926,18,20,32,2014,6,1,28,0,0,0,22,1
491542,86,612940,46,0,0,2014,6,6,498,58,0,0,461,0
34639,28,411379,45,46,0,2014,6,6,441,0,0,0,408,0
969650,7,351036,37,44,0,2014,6,6,40642,1,0,0,34412,0
1857,24,68660,36,42,0,2014,6,13,1348,26,0,0,1269,0
124916,39,765849,21,37,44,2014,6,13,48142,1,93,125,46616,0
0,28,267164,38,39,42,2014,6,20,637,74,138,0,621,0
0,16,168425,39,42,0,2014,6,20,195,0,0,0,191,0
0,12,502789,25,40,44,2014,6,20,29624,1,6,0,25241,0
0,34,560426,40,43,44,2014,6,27,55,3,0,0,46,0
0,18,173048,45,46,0,2014,7,4,168,70,0,0,44,0
0,2,1999,41,46,0,2014,7,4,24,139,0,0,20,0
0,25,653760,38,43,0,2014,7,4,2083,1,0,0,1904,0
0,31,747233,12,38,0,2014,7,8,319,1,24,0,293,0
0,0,0,41,0,0,2014,7,10,4788,12,17,21,4508,0
0,50,342350,38,43,46,2014,7,11,146,0,0,0,100,0
72279,5,30327,41,0,0,2014,7,18,2803,12,21,0,2704,0
0,8,651517,26,27,29,2014,7,18,68,1,0,0,59,0
16472,26,377436,45,46,0,2014,8,1,280,12,139,0,277,0
59914,14,175290,21,32,41,2014,8,9,32,0,0,0,26,1
0,15,143245,30,45,0,2014,8,15,1093,16,128,0,1076,0
0,61,639624,44,0,0,2014,8,16,9525,8,22,81,9123,0
0,0,0,40,41,45,2014,8,21,1762,1,0,0,1756,0
0,15,114389,46,0,0,2014,8,22,254,0,0,0,251,0
0,12,91053,46,0,0,2014,8,26,12,0,0,0,12,0
0,7,216587,45,46,0,2014,8,28,702,30,0,0,700,1
0,48,1001734,33,46,0,2014,8,29,213,16,0,0,212,1
358932,67,342439,45,46,0,2014,8,29,104,0,0,0,102,1
113157,16,243212,39,46,0,2014,8,29,48,92,0,0,47,1
0,50,479680,40,44,45,2014,8,29,26,0,0,0,25,1
0,8,451597,37,44,0,2014,8,29,70925,1,4,0,57222,1
0,5,30094,41,0,0,2014,9,5,216,0,0,0,192,1
6670,18,188639,30,39,42,2014,9,5,48,12,0,0,42,1
0,14,655873,41,0,0,2014,9,5,990,1,0,0,796,1
0,5,290707,41,44,0,2014,9,5,621,1,0,0,551,1
0,0,0,41,0,0,2014,9,6,1172,29,0,0,923,1
292446,16,545082,37,40,44,2014,9,8,7677,38,0,0,7135,1
0,42,164553,45,46,0,2014,9,12,77,77,0,0,70,0
3071,13,183542,46,0,0,2014,9,12,56,0,0,0,53,0
0,10,445522,21,42,44,2014,9,12,11041,1,0,0,10121,0
0,64,301149,26,34,0,2014,9,18,29,124,0,0,24,1
4963909,15,388667,42,46,0,2014,9,19,729,10,28,0,681,1
0,0,0,41,0,0,2014,10,3,59,0,0,0,52,1
0,63,807219,45,46,0,2014,10,14,50,0,0,0,44,0
441715,2,24468,43,0,0,2014,10,16,18,0,0,0,13,0
0,4,2152,36,42,0,2014,10,17,602,74,0,0,577,0
752521,19,646620,40,44,0,2014,10,21,8282,1,13,0,8135,0
0,45,388658,35,46,0,2014,10,24,1668,19,0,0,1644,0
959976,99,1752288,40,44,45,2014,10,24,1413,1,0,0,1409,0
959976,106,2144267,40,44,45,2014,10,24,1025,1,0,0,1022,0
0,10,365435,37,39,0,2014,10,28,15064,1,4,0,13536,0
0,13,46586,36,39,42,2014,10,31,360,12,58,0,351,0
0,64,807428,46,0,0,2014,11,7,637,129,0,0,424,0
0,4,501194,39,42,0,2014,11,7,96,0,0,0,94,0
0,90,507382,44,46,0,2014,11,7,84,0,0,0,79,0
379269,41,419025,45,46,0,2014,11,11,72,33,0,0,68,0
1619303,23,724852,24,37,39,2014,11,12,75537,1,13,125,54135,0
0,10,104486,36,42,0,2014,11,13,1894,50,0,0,1602,0
0,33,169213,38,39,40,2014,11,14,503,0,0,0,485,0
0,31,623222,39,41,45,2014,11,14,25321,1,0,0,15980,0
19930,26,76493,43,0,0,2014,11,15,3324,20,23,0,1272,0
0,14,444300,34,44,0,2014,11,21,11902,2,14,41,9907,0
0,5,188109,45,0,0,2014,11,21,174,1,0,0,167,0
288,21,111387,45,46,0,2014,11,21,10,0,0,0,8,0
0,14,187108,45,46,0,2014,11,28,59,50,0,0,55,0
0,5,30493,45,0,0,2014,11,28,6,0,0,0,6,0
0,2,58156,35,46,0,2014,11,28,7,85,0,0,6,0
0,26,593657,37,42,0,2014,11,28,2114,1,0,0,2067,0
0,33,133291,45,46,0,2014,11,29,7,0,0,0,6,0
0,32,334412,26,43,0,2014,12,4,227,12,18,23,67,0
35094,7,214652,36,42,46,2014,12,12,628,35,0,0,605,0
0,15,425763,40,41,45,2014,12,26,3637,1,0,0,3131,1
1857,6,249311,20,45,46,2014,12,31,0,0,0,0,2,1
